TIPO,MARCA,MODELO,A¤o,Precio,CILINDRADA,Motor,ALIMENTACIàN,POT MAX ,Tracci¢n,Caja de cambios
SUV Compacto,Subaru,Crosstrek ,2024,"589,900",4 cilindros,2.0 Lts,Gasolina,154 hp,Total,Autom tica
Hatchback h¡brido,Toyota ,Prius,2024,"484,900",4 cilindros,1.8 Lts,H¡brido,196 hp,Delantera,Autom tica
Hatchback h¡brido,Toyota ,Prius Prime ,2024,"559,000",4 cilindros,1.8 Lts,H¡brido,220 hp,Delantera,Autom tica
SUV Compacto,Subaru,Forester ,2024,"669,900",4 cilindros,2.5 Lts,Gasolina,182 hp,Total,Autom tica
Sed n y Hatchback,Mazda,Mazda 3 ,2024,"538,900",4 cilindros,2.5 Lts,Gasolina,186 hp,Delantera,Autom tica y Manual
Sed n ,Toyota ,Camry Hybrid ,2024,"618,500",4 cilindros,2.5 Lts,H¡brido,231 hp,Total,Autom tica
Camioneta compacta,Ford ,Maverick ,2024,"699,000",6 cilindros,2.0 Lts,Gasolina,250 hp,Total,Manual
Camioneta compacta,Ford ,Maverick Hybrid,2024,"702,000",6 cilindros,2.5 Lts,H¡brido,191 hp,Delantera,Autom tica
SUV Compacto,Toyota ,RAV4 Prime,2024,"572,800",4 cilindros,2.5 Lts,H¡brido,302 hp,Total,Autom tica
SUV,Toyota ,Highlander Hybrid,2024,"879,400",4 cilindros,2.5 Lts,H¡brido,243 hp,Delantera Y Total,Autom tica
SUV de Lujo,BMW,BMW X5 ,2024,"1,660,000",6 cilindros,3.0 Lts,H¡brido,375 hp,Total o Trasera,Autom tica
SUV de Lujo,BMW,BMW X5 PHEV,2024,"1,660,000",6 cilindros,3.0 Lts,H¡brido,483 hp,Total,Autom tica
SUV Compacto el‚ctrico,Tesla, Model Y,2024,"803,340",N/A,N/A,El‚ctrico,456 hp,Total,Autom tica
Sed n,Toyota ,Corolla Hybrid,2023,"500,000",4 cilindros,1.8 Lts,H¡brido,138 hp,Delantera Y Total,Autom tica
SUV Compacto,Toyota ,Corolla Cross,2023,"534,700",4 cilindros,2.0 Lts,Gasolina,169 hp,Delantera Y Total,Autom tica
SUV Compacto,Toyota ,Corolla Cross Hybrid,2023,"604,600",4 cilindros,2.0 Lts,H¡brido,196 hp,Delantera Y Total,Autom tica
SUV Compacto,Subaru,Forester ,2023,"669,900",4 cilindros,2.5 Lts,Gasolina,182 hp,Total,Autom tica
Camioneta compacta,Ford ,Maverick Hybrid,2023,"840,000",4 cilindros,2.5 Lts,H¡brido,191 hp,Delantera,Autom tica
Sed n h¡brido,Toyota ,Camry Hybrid ,2023,"599,900",4 cilindros,2.5 Lts,H¡brido,208 hp,Delantera,Autom tica
